quantity,n_usable,pct_usable,median_ms,p90_ms
clock_horizon_ms100,2748983,80.25925446895577,109.386273,134.16234100000003
clock_horizon_ms250,3167468,92.47733443032365,265.39400850000004,320.33359570000005
clock_horizon_ms500,3350755,97.82857813530526,517.620578,594.6268056
clock_horizon_ms1000,3417016,99.76313300900492,1017.3431535,1101.4103055
clock_horizon_ms2000,3424227,99.97366522545575,2018.364272,2105.7515605999997
clock_horizon_ms5000,3423645,99.95667316471877,5019.178665,5112.0513866
clock_horizon_ms10000,3422055,99.91025155548886,10019.568419,10113.6617316
clock_horizon_ms30000,3416428,99.74596577238405,30020.104006499998,30115.6063282
event_window_span_ev10,3425129,100.0,12.106496,177.08446720000006
event_window_span_ev25,3425129,100.0,73.316608,437.037056
event_window_span_ev50,3425129,100.0,206.70976,810.5618944
event_window_span_ev100,3425129,100.0,483.636992,1493.1629056000002
