event_id,raw_row_id,ts_recv,ts_event,sequence,action,side,price,size,F_LAST,F_SNAPSHOT,F_MAYBE_BAD_BOOK,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,canonical_event_id,signed_trade_volume,trade_size,n_records,actions,bid_price_1,ask_price_1,bid_size_1,ask_size_1
18,10143,2026-08-05 13:30:00.089046616+00:00,2026-08-05 13:30:00.088877171+00:00,49672782,C,A,99.8,300,True,False,False,99.3,99.44,550,90,18,0.0,,1,C,99.3,99.44,550,90
19,10144,2026-08-05 13:30:00.089509878+00:00,2026-08-05 13:30:00.089334560+00:00,49673348,T,N,99.43,112,False,False,False,99.3,99.44,550,90,19,0.0,18243.0,4,T,99.3,99.44,550,90
19,10145,2026-08-05 13:30:00.089509878+00:00,2026-08-05 13:30:00.089334560+00:00,49673349,T,N,99.43,2763,False,False,False,99.3,99.44,550,90,19,0.0,18243.0,4,T,99.3,99.44,550,90
19,10146,2026-08-05 13:30:00.089509878+00:00,2026-08-05 13:30:00.089334560+00:00,49673350,T,N,99.43,9914,False,False,False,99.3,99.44,550,90,19,0.0,18243.0,4,T,99.3,99.44,550,90
19,10147,2026-08-05 13:30:00.089509878+00:00,2026-08-05 13:30:00.089334560+00:00,49673351,T,N,99.43,5454,True,False,False,99.3,99.44,550,90,19,0.0,18243.0,4,T,99.3,99.44,550,90
20,10148,2026-08-05 13:30:00.089595612+00:00,2026-08-05 13:30:00.089425857+00:00,49673411,A,A,99.44,50,True,False,False,99.3,99.44,550,140,20,0.0,,1,A,99.3,99.44,550,140
21,10149,2026-08-05 13:30:00.090040857+00:00,2026-08-05 13:30:00.089867143+00:00,49673967,A,A,99.4,50,True,False,False,99.3,99.4,550,50,21,0.0,,1,A,99.3,99.4,550,50
22,10150,2026-08-05 13:30:00.090130503+00:00,2026-08-05 13:30:00.089962053+00:00,49674082,A,B,99.19,49,True,False,False,99.3,99.4,550,50,22,0.0,,1,A,99.3,99.4,550,50
23,10151,2026-08-05 13:30:00.090146967+00:00,2026-08-05 13:30:00.089975957+00:00,49674093,A,A,99.36,50,True,False,False,99.3,99.36,550,50,23,0.0,,1,A,99.3,99.36,550,50
24,10152,2026-08-05 13:30:00.090160803+00:00,2026-08-05 13:30:00.089987585+00:00,49674110,T,A,99.3,500,False,False,False,99.3,99.36,550,50,24,-550.0,550.0,3,CT,99.19,99.36,49,50
24,10153,2026-08-05 13:30:00.090160803+00:00,2026-08-05 13:30:00.089987585+00:00,49674111,T,A,99.3,50,False,False,False,99.3,99.36,50,50,24,-550.0,550.0,3,CT,99.19,99.36,49,50
24,10154,2026-08-05 13:30:00.090160803+00:00,2026-08-05 13:30:00.089987585+00:00,49674111,C,B,99.3,50,True,False,False,99.19,99.36,49,50,24,-550.0,550.0,3,CT,99.19,99.36,49,50
25,10155,2026-08-05 13:30:00.090171297+00:00,2026-08-05 13:30:00.089999554+00:00,49674130,C,A,99.44,50,True,False,False,99.19,99.36,49,50,25,0.0,,1,C,99.19,99.36,49,50
26,10156,2026-08-05 13:30:00.090211685+00:00,2026-08-05 13:30:00.090042085+00:00,49674180,A,A,99.4,50,True,False,False,99.19,99.36,49,50,26,0.0,,1,A,99.19,99.36,49,50
27,10157,2026-08-05 13:30:00.090260131+00:00,2026-08-05 13:30:00.090081833+00:00,49674221,T,B,99.36,50,False,False,False,99.19,99.36,49,50,27,50.0,50.0,2,CT,99.19,99.4,49,100
27,10158,2026-08-05 13:30:00.090260131+00:00,2026-08-05 13:30:00.090081833+00:00,49674221,C,A,99.36,50,True,False,False,99.19,99.4,49,100,27,50.0,50.0,2,CT,99.19,99.4,49,100
28,10159,2026-08-05 13:30:00.090287874+00:00,2026-08-05 13:30:00.090118224+00:00,49674267,A,A,99.36,50,True,False,False,99.19,99.36,49,50,28,0.0,,1,A,99.19,99.36,49,50
29,10160,2026-08-05 13:30:00.090289562+00:00,2026-08-05 13:30:00.090119741+00:00,49674268,A,B,99.19,50,True,False,False,99.19,99.36,99,50,29,0.0,,1,A,99.19,99.36,99,50
30,10161,2026-08-05 13:30:00.090385839+00:00,2026-08-05 13:30:00.090216619+00:00,49674376,A,B,99.27,48,True,False,False,99.27,99.36,48,50,30,0.0,,1,A,99.27,99.36,48,50
31,10162,2026-08-05 13:30:00.090397106+00:00,2026-08-05 13:30:00.090227950+00:00,49674389,A,A,99.35,47,True,False,False,99.27,99.35,48,47,31,0.0,,1,A,99.27,99.35,48,47
32,10163,2026-08-05 13:30:00.090404016+00:00,2026-08-05 13:30:00.090233433+00:00,49674394,C,A,99.4,50,True,False,False,99.27,99.35,48,47,32,0.0,,1,C,99.27,99.35,48,47
33,10164,2026-08-05 13:30:00.090429240+00:00,2026-08-05 13:30:00.090260333+00:00,49674433,C,A,99.36,50,True,False,False,99.27,99.35,48,47,33,0.0,,1,C,99.27,99.35,48,47
34,10165,2026-08-05 13:30:00.090457836+00:00,2026-08-05 13:30:00.090289820+00:00,49674453,C,A,99.4,50,True,False,False,99.27,99.35,48,47,34,0.0,,1,C,99.27,99.35,48,47
35,10166,2026-08-05 13:30:00.090461783+00:00,2026-08-05 13:30:00.090293910+00:00,49674456,A,A,99.35,50,True,False,False,99.27,99.35,48,97,35,0.0,,1,A,99.27,99.35,48,97
36,10167,2026-08-05 13:30:00.090479721+00:00,2026-08-05 13:30:00.090302002+00:00,49674501,C,B,99.27,48,True,False,False,99.19,99.35,99,97,36,0.0,,1,C,99.19,99.35,99,97
37,10168,2026-08-05 13:30:00.090486467+00:00,2026-08-05 13:30:00.090313346+00:00,49674519,C,B,99.19,50,True,False,False,99.19,99.35,49,97,37,0.0,,1,C,99.19,99.35,49,97
38,10169,2026-08-05 13:30:00.090488745+00:00,2026-08-05 13:30:00.090316327+00:00,49674523,A,B,99.36,50,True,False,False,99.27,99.35,50,97,38,0.0,,1,A,99.27,99.35,50,97
39,10170,2026-08-05 13:30:00.090616476+00:00,2026-08-05 13:30:00.090448269+00:00,49674633,A,B,99.2,48,True,False,False,99.27,99.35,50,97,39,0.0,,1,A,99.27,99.35,50,97
40,10171,2026-08-05 13:30:00.090626772+00:00,2026-08-05 13:30:00.090459035+00:00,49674656,A,A,99.33,50,True,False,False,99.27,99.33,50,50,40,0.0,,1,A,99.27,99.33,50,50
41,10172,2026-08-05 13:30:00.090637055+00:00,2026-08-05 13:30:00.090466764+00:00,49674663,C,A,99.36,50,True,False,False,99.27,99.33,50,50,41,0.0,,1,C,99.27,99.33,50,50
42,10173,2026-08-05 13:30:00.090755714+00:00,2026-08-05 13:30:00.090580755+00:00,49674777,C,A,99.35,50,True,False,False,99.27,99.33,50,50,42,0.0,,1,C,99.27,99.33,50,50
43,10174,2026-08-05 13:30:00.090773586+00:00,2026-08-05 13:30:00.090606367+00:00,49674794,A,B,99.27,47,True,False,False,99.27,99.33,97,50,43,0.0,,1,A,99.27,99.33,97,50
44,10175,2026-08-05 13:30:00.090835272+00:00,2026-08-05 13:30:00.090655724+00:00,49674890,C,B,99.27,47,True,False,False,99.27,99.33,50,50,44,0.0,,1,C,99.27,99.33,50,50
45,10176,2026-08-05 13:30:00.090885518+00:00,2026-08-05 13:30:00.090711859+00:00,49674952,A,B,99.2,47,True,False,False,99.27,99.33,50,50,45,0.0,,1,A,99.27,99.33,50,50
46,10177,2026-08-05 13:30:00.091086222+00:00,2026-08-05 13:30:00.090915274+00:00,49675188,C,A,99.33,50,True,False,False,99.27,99.35,50,47,46,0.0,,1,C,99.27,99.35,50,47
47,10178,2026-08-05 13:30:00.091151529+00:00,2026-08-05 13:30:00.090981748+00:00,49675248,A,B,99.28,24,True,False,False,99.28,99.35,24,47,47,0.0,,1,A,99.28,99.35,24,47
48,10179,2026-08-05 13:30:00.091223811+00:00,2026-08-05 13:30:00.091055933+00:00,49675315,A,B,99.22,24,True,False,False,99.28,99.35,24,47,48,0.0,,1,A,99.28,99.35,24,47
49,10180,2026-08-05 13:30:00.091243490+00:00,2026-08-05 13:30:00.091068349+00:00,49675332,T,N,99.34,47,True,False,False,99.28,99.35,24,47,49,0.0,47.0,1,T,99.28,99.35,24,47
50,10181,2026-08-05 13:30:00.091299628+00:00,2026-08-05 13:30:00.091127978+00:00,49675407,A,B,99.28,50,True,False,False,99.28,99.35,74,47,50,0.0,,1,A,99.28,99.35,74,47
51,10182,2026-08-05 13:30:00.095293655+00:00,2026-08-05 13:30:00.095122074+00:00,49678879,C,B,99.2,48,True,False,False,99.28,99.35,74,47,51,0.0,,1,C,99.28,99.35,74,47
52,10183,2026-08-05 13:30:00.095624212+00:00,2026-08-05 13:30:00.095452016+00:00,49679159,C,A,99.35,47,True,False,False,99.28,99.38,74,24,52,0.0,,1,C,99.28,99.38,74,24
53,10184,2026-08-05 13:30:00.095634716+00:00,2026-08-05 13:30:00.095465710+00:00,49679167,C,B,99.2,47,True,False,False,99.28,99.38,74,24,53,0.0,,1,C,99.28,99.38,74,24
54,10185,2026-08-05 13:30:00.095654171+00:00,2026-08-05 13:30:00.095484212+00:00,49679213,A,A,99.36,50,True,False,False,99.28,99.36,74,50,54,0.0,,1,A,99.28,99.36,74,50
55,10186,2026-08-05 13:30:00.100629530+00:00,2026-08-05 13:30:00.100457812+00:00,49684657,C,A,99.38,24,True,False,False,99.28,99.36,74,50,55,0.0,,1,C,99.28,99.36,74,50
56,10187,2026-08-05 13:30:00.101069624+00:00,2026-08-05 13:30:00.100893853+00:00,49685134,C,B,99.28,24,True,False,False,99.28,99.36,50,50,56,0.0,,1,C,99.28,99.36,50,50
57,10188,2026-08-05 13:30:00.101235407+00:00,2026-08-05 13:30:00.101060452+00:00,49685308,C,B,99.22,24,True,False,False,99.28,99.36,50,50,57,0.0,,1,C,99.28,99.36,50,50
58,10189,2026-08-05 13:30:00.112033013+00:00,2026-08-05 13:30:00.111855895+00:00,49696583,A,A,99.68,300,True,False,False,99.28,99.36,50,50,58,0.0,,1,A,99.28,99.36,50,50
59,10190,2026-08-05 13:30:00.113139527+00:00,2026-08-05 13:30:00.112967670+00:00,49698641,C,A,99.72,300,True,False,False,99.28,99.36,50,50,59,0.0,,1,C,99.28,99.36,50,50
60,10191,2026-08-05 13:30:00.113697482+00:00,2026-08-05 13:30:00.113523765+00:00,49699645,A,A,99.43,40,True,False,False,99.28,99.36,50,50,60,0.0,,1,A,99.28,99.36,50,50
61,10192,2026-08-05 13:30:00.113734459+00:00,2026-08-05 13:30:00.113556267+00:00,49699718,C,A,99.44,40,True,False,False,99.28,99.36,50,50,61,0.0,,1,C,99.28,99.36,50,50
62,10193,2026-08-05 13:30:00.121147406+00:00,2026-08-05 13:30:00.120979593+00:00,49712226,A,A,99.4,40,True,False,False,99.28,99.36,50,50,62,0.0,,1,A,99.28,99.36,50,50
63,10194,2026-08-05 13:30:00.121166315+00:00,2026-08-05 13:30:00.120993448+00:00,49712251,C,A,99.43,40,True,False,False,99.28,99.36,50,50,63,0.0,,1,C,99.28,99.36,50,50
64,10195,2026-08-05 13:30:00.121223092+00:00,2026-08-05 13:30:00.121044854+00:00,49712337,A,A,99.36,40,True,False,False,99.28,99.36,50,90,64,0.0,,1,A,99.28,99.36,50,90
65,10196,2026-08-05 13:30:00.121236022+00:00,2026-08-05 13:30:00.121061022+00:00,49712378,C,A,99.4,40,True,False,False,99.28,99.36,50,90,65,0.0,,1,C,99.28,99.36,50,90
66,10197,2026-08-05 13:30:00.121267197+00:00,2026-08-05 13:30:00.121097380+00:00,49712438,C,A,99.36,40,True,False,False,99.28,99.36,50,50,66,0.0,,1,C,99.28,99.36,50,50
67,10198,2026-08-05 13:30:00.121287741+00:00,2026-08-05 13:30:00.121116364+00:00,49712464,A,B,99.27,40,True,False,False,99.28,99.36,50,50,67,0.0,,1,A,99.28,99.36,50,50
68,10199,2026-08-05 13:30:00.121308813+00:00,2026-08-05 13:30:00.121137559+00:00,49712495,A,B,99.22,40,True,False,False,99.28,99.36,50,50,68,0.0,,1,A,99.28,99.36,50,50
69,10200,2026-08-05 13:30:00.124093381+00:00,2026-08-05 13:30:00.123921276+00:00,49717456,C,B,99.22,40,True,False,False,99.28,99.36,50,50,69,0.0,,1,C,99.28,99.36,50,50
70,10201,2026-08-05 13:30:00.125046818+00:00,2026-08-05 13:30:00.124873095+00:00,49719270,A,A,99.35,40,True,False,False,99.28,99.35,50,40,70,0.0,,1,A,99.28,99.35,50,40
71,10202,2026-08-05 13:30:00.125072113+00:00,2026-08-05 13:30:00.124902737+00:00,49719310,C,A,99.36,50,True,False,False,99.28,99.35,50,40,71,0.0,,1,C,99.28,99.35,50,40
72,10203,2026-08-05 13:30:00.125278064+00:00,2026-08-05 13:30:00.125103797+00:00,49719691,A,A,99.33,40,True,False,False,99.28,99.33,50,40,72,0.0,,1,A,99.28,99.33,50,40
73,10204,2026-08-05 13:30:00.125290475+00:00,2026-08-05 13:30:00.125118066+00:00,49719725,C,A,99.35,40,True,False,False,99.28,99.33,50,40,73,0.0,,1,C,99.28,99.33,50,40
74,10205,2026-08-05 13:30:00.125301336+00:00,2026-08-05 13:30:00.125130186+00:00,49719742,T,B,99.33,40,False,False,False,99.28,99.33,50,40,74,40.0,40.0,2,CT,99.28,99.65,50,110
74,10206,2026-08-05 13:30:00.125301336+00:00,2026-08-05 13:30:00.125130186+00:00,49719742,C,A,99.33,40,True,False,False,99.28,99.65,50,110,74,40.0,40.0,2,CT,99.28,99.65,50,110
