key,n_groups,n_groups_gt1,max_group_size,mean_group_size,pct_rows_in_shared_group
ts_recv,3514943,81894,16,1.0391391837648576,6.008626932401373
sequence,3583436,69079,2,1.0192773081478224,3.7825443564229033
