action,side,n,pct
A,B,906927,24.83020603611484
A,A,864513,23.6689787721611
C,B,846543,23.176989006205314
C,A,845320,23.143505228589067
T,A,70550,1.9315457978954227
T,B,59649,1.6330939092652597
T,N,38344,1.0497971945358198
A,N,10534,0.288404017505746
C,N,10135,0.2774800377274289
