fold,model,horizon,test_day,r2_in_sample,sigma_resid,oos_r2,oos_corr,dir_acc,pct_unchanged,n_oos,chosen_z_threshold,bt_trade_count,bt_gross_pnl,bt_net_pnl,bt_total_costs,bt_hit_rate,bt_avg_pnl,bt_sharpe_like,bt_max_drawdown,bt_turnover,beta_1,beta_1_t,beta_1_name
0,M0_constant,ms1000,2026-07-29,-1.8058887718552796e-12,0.027153100390093395,-1.903485407561689e-05,,0.5012343923030814,13.22948623012095,113436,,,,,,,,,,,,,
0,M1_ofi,ms1000,2026-07-29,0.00014370932093821231,0.027151149243182036,-0.00019329890661046178,-0.002233187517020359,0.49399059220351726,13.22948623012095,113436,,,,,,,,,,,0.0003255080186698602,8.365919258253337,OFI1_ev50
0,M1N_ofi_normalized,ms1000,2026-07-29,3.997956780055212e-05,0.027152557600058802,-3.832174727480542e-05,-0.0003342524698435476,0.4978817218502677,13.22948623012095,113436,,,,,,,,,,,0.0001716873394092587,4.16485328120711,nOFI_L1
0,M2_ofi_spread_depth,ms1000,2026-07-29,0.000472176999247953,0.02714668909845702,-7.969158320397796e-05,0.006130100279225934,0.5030428024261142,13.22948623012095,113436,,,,,,,,,,,0.0003178311474177803,8.21331883549703,OFI1_ev50
0,M3_ofi_signedvol,ms1000,2026-07-29,0.0002056636068581419,0.027150308044233844,-0.0001227913258678992,0.0007677101755268482,0.4948135204055715,13.22948623012095,113436,,,,,,,,,,,0.00023163257390022645,5.415024529936664,OFI1_ev50
0,M4_ofi_intensity,ms1000,2026-07-29,0.00016327896732015734,0.027150883534502103,-0.00015962732141905356,-6.803122757722112e-05,0.49351309065417714,13.22948623012095,113436,,,,,,,,,,,0.00031935400452959636,8.182428559647535,OFI1_ev50
0,M5_full,ms1000,2026-07-29,0.0005498381162115651,0.027145634458904853,-4.121481549512751e-05,0.007595255730998314,0.5024941836247447,13.22948623012095,113436,,,,,,,,,,,0.00022466682493642824,5.2876047585707475,OFI1_ev50
1,M0_constant,ms1000,2026-07-30,1.7177370637000422e-12,0.0276195796703859,-5.3841759453554516e-05,-4.7904073360119846e-18,0.5024033271593014,18.870307544804188,108472,,,,,,,,,,,,,
1,M1_ofi,ms1000,2026-07-30,0.0001603685697213475,0.02761736492534539,-0.00034032114423321325,-0.0029352277080298265,0.49608536072633885,18.870307544804188,108472,,,,,,,,,,,0.00034976511473340614,8.880184671891152,OFI1_ev50
1,M1N_ofi_normalized,ms1000,2026-07-30,4.857149718895393e-05,0.027618908900072774,-0.00011478546788845634,-0.004383698907265034,0.494335420383396,18.870307544804188,108472,,,,,,,,,,,0.00019248975002477347,4.548975210166518,nOFI_L1
