fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout
0,2026-07-29,passive_buy,0.0,0.0,7293,-inf,0.0016522692993281751,-0.011040723981900431,12.05000000000038
0,2026-07-29,passive_buy,0.0,0.25,4744,-inf,0.0016462900505902526,-0.01096121416526141,7.810000000000159
0,2026-07-29,passive_buy,0.0,0.5,3015,-inf,0.0023134328358209266,-0.01034494195688232,6.975000000000094
0,2026-07-29,passive_buy,0.0,1.0,903,-inf,0.003898117386489538,-0.008327796234773109,3.520000000000053
0,2026-07-29,passive_buy,0.3,0.0,5192,-0.00022764126468781038,0.0013925269645608718,-0.010749229583975393,7.230000000000047
0,2026-07-29,passive_buy,0.3,0.25,3443,-0.00022764126468781038,0.0012285797269822344,-0.010807435376125614,4.2299999999998334
0,2026-07-29,passive_buy,0.3,0.5,2189,-0.00022764126468781038,0.0019026952946551096,-0.010127912288716456,4.165000000000035
0,2026-07-29,passive_buy,0.3,1.0,661,-0.00022764126468781038,0.0028214826021180383,-0.008925869894100168,1.8650000000000233
0,2026-07-29,passive_buy,0.5,0.0,3779,-2.0563681176145247e-05,0.0012159301402487428,-0.01061391902619745,4.594999999999999
0,2026-07-29,passive_buy,0.5,0.25,2507,-2.0563681176145247e-05,0.0011806940566413506,-0.010490626246509881,2.959999999999866
0,2026-07-29,passive_buy,0.5,0.5,1621,-2.0563681176145247e-05,0.0020635410240592484,-0.009592843923504105,3.3450000000000415
0,2026-07-29,passive_buy,0.5,1.0,482,-2.0563681176145247e-05,0.0027489626556017836,-0.008485477178423465,1.3250000000000597
0,2026-07-29,passive_buy,0.7,0.0,2483,0.0001662507195843866,0.0007954087797019311,-0.01063229963753527,1.9749999999998948
0,2026-07-29,passive_buy,0.7,0.25,1658,0.0001662507195843866,0.0007147165259347341,-0.010536791314837302,1.184999999999789
0,2026-07-29,passive_buy,0.7,0.5,1079,0.0001662507195843866,0.001626506024096342,-0.009749768303985292,1.7549999999999528
0,2026-07-29,passive_buy,0.7,1.0,311,0.0001662507195843866,0.001157556270096187,-0.009678456591640527,0.35999999999991417
0,2026-07-29,passive_buy,0.9,0.0,1050,0.000434720745395342,0.0022571428571429696,-0.008657142857142827,2.3700000000001182
0,2026-07-29,passive_buy,0.9,0.25,714,0.000434720745395342,0.0009803921568626894,-0.009663865546218654,0.6999999999999602
0,2026-07-29,passive_buy,0.9,0.5,472,0.000434720745395342,0.0006673728813559575,-0.010063559322034048,0.31500000000001194
