horizon,variant,mean_price_units,mean_ticks,se_day_clustered,se_ticks,t_stat,n_fills,n_days,pct_positive
ms100,markout,-0.0009003333254533136,-0.09003333254533136,0.0002615164469193812,0.02615164469193812,-3.4427407379500807,42301,20,30.73131475706669
ms100,markout_after_crossing_out,-0.014655681640061759,-1.465568164006176,0.00047753173146496147,0.047753173146496145,-30.690487509806683,42301,20,16.566073165006873
ms250,markout,-0.0008336768949879034,-0.08336768949879034,0.0002572566173792614,0.02572566173792614,-3.2406431503328545,50937,20,38.181940113335344
ms250,markout_after_crossing_out,-0.014391404810671872,-1.439140481067187,0.0004776919581715921,0.04776919581715921,-30.126956429738186,50937,20,21.413003386647887
ms500,markout,-0.0006695783875171556,-0.06695783875171556,0.0002508995362611607,0.02508995362611607,-2.668711140303556,56782,20,43.734701404955906
ms500,markout_after_crossing_out,-0.014085361300116532,-1.4085361300116532,0.00047530656181854307,0.04753065618185431,-29.634266453686948,56782,20,26.011802970861414
ms1000,markout,-0.0005373303167420285,-0.05373303167420285,0.00026944943683240104,0.026944943683240102,-1.994178659487237,59228,20,46.29480602219763
ms1000,markout_after_crossing_out,-0.013876038102424604,-1.3876038102424604,0.0004817383883433022,0.04817383883433022,-28.80409458366871,59228,20,30.19984575663079
ms2000,markout,-0.0007393208281601021,-0.07393208281601021,0.0002833076700570601,0.02833076700570601,-2.609603996994497,59602,20,47.14649766958387
ms2000,markout_after_crossing_out,-0.014065131784789318,-1.4065131784789318,0.0005036895646094356,0.050368956460943554,-27.92420723604929,59602,20,34.10957985447474
ms5000,markout,-0.00038586746765561245,-0.038586746765561244,0.00023180349753250024,0.023180349753250024,-1.6646317754610735,59593,20,48.48942091674211
ms5000,markout_after_crossing_out,-0.0137130197277853,-1.37130197277853,0.00043989241144565884,0.043989241144565885,-31.17357647229909,59593,20,39.62713342051437
ms10000,markout,8.412533163183796e-05,0.008412533163183796,0.0003606943592771066,0.03606943592771066,0.23323162524759067,59554,20,48.86832310632733
ms10000,markout_after_crossing_out,-0.01324663304974852,-1.324663304974852,0.0005034771031226012,0.05034771031226012,-26.310298854887243,59554,20,42.69691177949904
ms30000,markout,0.0006208446247328008,0.06208446247328008,0.0005959127926808181,0.05959127926808181,1.041838054759359,59411,20,49.48864969989605
ms30000,markout_after_crossing_out,-0.012722054580316984,-1.2722054580316984,0.0006940192105222753,0.06940192105222753,-18.330983332209442,59411,20,46.061764410019116
