horizon,model,gate_quantile,queue_ahead_fraction,maker_rebate_per_unit,n_fills,n_days,fills_per_day,markout_ticks,markout_after_crossing_out_ticks,se_ticks,t_stat,below_min_fills,breakeven_rebate_per_unit,breakeven_rebate_ticks
ms1000,M5_full,0.9,0.5,0.0,3973,8,496.625,0.17669267556003332,-1.0616662471683838,0.17489340590060293,1.0102878073084869,False,-0.0017669267556003332,-0.17669267556003332
ms1000,M5_full,0.9,0.5,0.001,3973,8,496.625,0.27669267556003335,-0.9616662471683836,0.17489340590060293,1.5820646532396192,False,-0.0017669267556003332,-0.17669267556003332
ms1000,M5_full,0.9,0.5,0.002,3973,8,496.625,0.37669267556003333,-0.8616662471683837,0.17489340590060293,2.1538414991707513,False,-0.0017669267556003332,-0.17669267556003332
ms1000,M5_full,0.9,0.5,0.0025,3973,8,496.625,0.4266926755600333,-0.8116662471683836,0.17489340590060293,2.4397299221363173,False,-0.0017669267556003332,-0.17669267556003332
ms1000,M5_full,0.9,0.5,0.003,3973,8,496.625,0.47669267556003336,-0.7616662471683836,0.17489340590060293,2.725618345101884,False,-0.0017669267556003332,-0.17669267556003332
ms1000,M5_full,0.9,1.0,0.0,1111,8,138.875,0.25022502250223755,-0.9450945094509623,0.33585113320842164,0.7450474265541737,False,-0.0025022502250223754,-0.25022502250223755
ms1000,M5_full,0.9,1.0,0.001,1111,8,138.875,0.3502250225022375,-0.8450945094509623,0.33585113320842164,1.042798394504436,False,-0.0025022502250223754,-0.25022502250223755
ms1000,M5_full,0.9,1.0,0.002,1111,8,138.875,0.4502250225022375,-0.7450945094509622,0.33585113320842164,1.340549362454698,False,-0.0025022502250223754,-0.25022502250223755
ms1000,M5_full,0.9,1.0,0.0025,1111,8,138.875,0.5002250225022375,-0.6950945094509622,0.33585113320842164,1.4894248464298292,False,-0.0025022502250223754,-0.25022502250223755
ms1000,M5_full,0.9,1.0,0.003,1111,8,138.875,0.5502250225022376,-0.6450945094509623,0.33585113320842164,1.6383003304049604,False,-0.0025022502250223754,-0.25022502250223755
