fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout,n_unwind_1000,mean_unwind_1000,frac_passive_exit_1000,n_unwind_5000,mean_unwind_5000,frac_passive_exit_5000
0,2026-07-29,passive_buy,0.0,0.0,25023,-inf,-0.0034156575950125305,-0.01655436997961876,-85.46999999999855,25023,-0.008342325060943932,0.6673460416416896,25023,-0.005791471845901731,0.9713063981137353
0,2026-07-29,passive_buy,0.0,0.25,20477,-inf,-0.003767641744396103,-0.01695609708453388,-77.149999999999,20477,-0.009840796991746838,0.5944230111832788,20477,-0.0067500122088196635,0.9491136396933144
0,2026-07-29,passive_buy,0.0,0.5,16205,-inf,-0.003661524220919416,-0.016894168466522697,-59.33499999999914,16205,-0.011002159827213824,0.5151496451712434,16205,-0.007477938907744561,0.908053070040111
0,2026-07-29,passive_buy,0.0,1.0,3276,-inf,-0.002449633699633671,-0.015000000000000008,-8.024999999999906,3276,-0.011984126984126807,0.20512820512820512,3276,-0.00949938949938944,0.5167887667887668
0,2026-07-29,passive_buy,0.3,0.0,16616,-0.00022764126468781038,-0.0033768656716417515,-0.015919595570534475,-56.109999999999346,16616,-0.00789359653346173,0.6624939817043813,16616,-0.005151661049590696,0.9706307173808377
0,2026-07-29,passive_buy,0.3,0.25,14082,-0.00022764126468781038,-0.0038687686408180244,-0.016437295838659327,-54.47999999999942,14082,-0.009551910240022755,0.585996307342707,14082,-0.006348530038346838,0.9473086209345264
0,2026-07-29,passive_buy,0.3,0.5,11333,-0.00022764126468781038,-0.003926144886614237,-0.01654460425306629,-44.49499999999915,11333,-0.01084443660107656,0.5055148680843554,11333,-0.007266390187946751,0.9038207006088415
0,2026-07-29,passive_buy,0.3,1.0,2232,-0.00022764126468781038,-0.0027128136200715984,-0.014574372759856673,-6.054999999999808,2232,-0.01126792114695328,0.21281362007168458,2232,-0.009130824372759727,0.5165770609318996
0,2026-07-29,passive_buy,0.5,0.0,11822,-2.0563681176145247e-05,-0.002906445609879868,-0.015144645576044686,-34.3599999999998,11822,-0.00774995770597197,0.6665538825917781,11822,-0.0052343089155811205,0.9686178311622399
0,2026-07-29,passive_buy,0.5,0.25,10135,-2.0563681176145247e-05,-0.0033285643808583848,-0.01558362111494821,-33.73499999999973,10135,-0.009395165268870347,0.5906265416872225,10135,-0.006551554020720347,0.94583127775037
0,2026-07-29,passive_buy,0.5,0.5,8272,-2.0563681176145247e-05,-0.0031636847195357287,-0.015461798839458401,-26.169999999999547,8272,-0.010463007736944014,0.5080996131528046,8272,-0.007279980657640327,0.9029255319148937
0,2026-07-29,passive_buy,0.5,1.0,1609,-2.0563681176145247e-05,-0.0019577377252950855,-0.013530142945929123,-3.1499999999997925,1609,-0.0108452454940956,0.22001243008079552,1609,-0.008800497203231634,0.528899937849596
0,2026-07-29,passive_buy,0.7,0.0,7583,0.0001662507195843866,-0.0029388104971646875,-0.014874060398259286,-22.284999999999826,7583,-0.007530001318739364,0.6687326915468812,7583,-0.005050771462481891,0.969668996439404
0,2026-07-29,passive_buy,0.7,0.25,6525,0.0001662507195843866,-0.0033931034482758186,-0.015359386973180079,-22.139999999999716,6525,-0.00924291187739476,0.5923371647509579,6525,-0.0063616858237548835,0.948352490421456
0,2026-07-29,passive_buy,0.7,0.5,5397,0.0001662507195843866,-0.0033175838428755903,-0.015378914211599004,-17.90499999999956,5397,-0.010494719288493737,0.5067630164906429,5397,-0.007355938484343257,0.902538447285529
0,2026-07-29,passive_buy,0.7,1.0,1003,0.0001662507195843866,-0.0026420737786640846,-0.01394815553340005,-2.6500000000000767,1003,-0.011046859421734837,0.24227318045862412,1003,-0.009980059820538121,0.5353938185443669
0,2026-07-29,passive_buy,0.9,0.0,3135,0.000434720745395342,-0.0012185007974481001,-0.01277830940988841,-3.8199999999997942,3135,-0.006267942583732109,0.6947368421052632,3135,-0.0037703349282296947,0.9732057416267943
