model,horizon,beta_name,n_folds,pct_positive,mean,median,std,min,max,ci95_low,ci95_high,sign_changes
M1_ofi,ms1000,OFI1_ev50,8,100.0,0.00025110415274698806,0.00022979653027872782,6.956988364532739e-05,0.00017966435501682616,0.00034976511473340614,0.00020289468298485738,0.00029931362250911874,0
M1N_ofi_normalized,ms1000,nOFI_L1,8,100.0,0.0001453793520244565,0.00014371658579722556,3.0233103192139746e-05,0.00011343726803391482,0.00019248975002477347,0.00012442888038665133,0.00016632982366226166,0
M2_ofi_spread_depth,ms1000,OFI1_ev50,8,100.0,0.00024200442470023717,0.00021977088617464033,7.035405531351017e-05,0.00017034122924992312,0.0003416419771525534,0.0001932515516960038,0.00029075729770447055,0
M3_ofi_signedvol,ms1000,OFI1_ev50,8,100.0,0.00015209135092344176,0.00013191142644508803,7.872409148149259e-05,6.277644600589069e-05,0.00026097639115504494,9.75383387727145e-05,0.000206644363074169,0
M4_ofi_intensity,ms1000,OFI1_ev50,8,100.0,0.0002435182095669758,0.00022153218782468116,6.899835198368805e-05,0.0001729789934841447,0.0003412442976019385,0.00019570479104018094,0.00029133162809377066,0
M5_full,ms1000,OFI1_ev50,8,100.0,0.00014516133201326856,0.0001249854584271639,7.930923688258818e-05,5.5462178395399736e-05,0.00025444882804734136,9.020283478706838e-05,0.00020011982923946874,0
M6_wave,ms1000,OFI1_ev50,8,87.5,9.150493564702895e-05,5.606682781306557e-05,9.568686108790789e-05,-5.080144703286579e-06,0.00022237763439248603,2.51973238682284e-05,0.0001578125474258295,2
