unwind_1000ms_ticks,unwind_1000ms_se_ticks,unwind_1000ms_t,unwind_1000ms_passive_exit_frac,unwind_5000ms_ticks,unwind_5000ms_se_ticks,unwind_5000ms_t,unwind_5000ms_passive_exit_frac,horizon,model,gate_quantile,queue_ahead_fraction,maker_rebate_per_unit,n_fills,n_days,fills_per_day,markout_ticks,markout_after_crossing_out_ticks,se_ticks,t_stat,below_min_fills,breakeven_rebate_per_unit,breakeven_rebate_ticks
-0.86381203366444,0.052236952151171266,-16.536417193036243,0.6158702859646484,-0.561160864632274,0.04997113128519063,-11.22970103337602,0.9553755055731573,ms1000,M5_full,0.0,0.0,0.0,305842,8,38230.25,-0.2603354019395637,-1.5594228392437952,0.025152123437918197,-10.350434331404955,False,0.0026033540193956374,0.2603354019395637
-0.7022250050679754,0.053594629747841814,-13.102525539814053,0.6158702859646484,-0.36562331407495824,0.05028766161134592,-7.270636620583411,0.9553755055731573,ms1000,M5_full,0.0,0.0,0.001,305842,8,38230.25,-0.16033540193956375,-1.4594228392437951,0.025152123437918197,-6.374626871377762,False,0.0026033540193956374,0.2603354019395637
-0.5406379764715105,0.05499722791082991,-9.830276852282031,0.6158702859646484,-0.17008576351764249,0.050614740106328486,-3.3603998195058646,0.9553755055731573,ms1000,M5_full,0.0,0.0,0.002,305842,8,38230.25,-0.060335401939563736,-1.3594228392437953,0.025152123437918197,-2.3988194113505674,False,0.0026033540193956374,0.2603354019395637
-0.45984446217327807,0.05571431627080386,-8.253614025130767,0.6158702859646484,-0.07231698823898465,0.05078217148131392,-1.4240625426109397,0.9553755055731573,ms1000,M5_full,0.0,0.0,0.0025,305842,8,38230.25,-0.010335401939563739,-1.3094228392437952,0.025152123437918197,-0.41091568133697043,False,0.0026033540193956374,0.2603354019395637
-0.37905094787504556,0.05644139784100237,-6.7158320377331355,0.6158702859646484,0.025451787039673213,0.050952163634173445,0.49952318457783373,0.9553755055731573,ms1000,M5_full,0.0,0.0,0.003,305842,8,38230.25,0.03966459806043626,-1.2594228392437952,0.025152123437918197,1.5769880486766266,False,0.0026033540193956374,0.2603354019395637
-1.144631455784374,0.06353039488466683,-18.01706817441226,0.5310841466853538,-0.8289967675679296,0.06122616348488758,-13.5399103974978,0.9172783595407252,ms1000,M5_full,0.0,0.25,0.0,237597,8,29699.625,-0.3906130969667124,-1.6951939628867392,0.03024176620716625,-12.916345371195638,False,0.0039061309696671242,0.3906130969667124
-0.9915230411158388,0.06552729263234505,-15.131451358428489,0.5310841466853538,-0.6372689316138569,0.06224817090645226,-10.23755272378295,0.9172783595407252,ms1000,M5_full,0.0,0.25,0.001,237597,8,29699.625,-0.2906130969667124,-1.595193962886739,0.03024176620716625,-9.60966019563524,False,0.0039061309696671242,0.3906130969667124
-0.8384146264473034,0.06755059530553705,-12.411654148347372,0.5310841466853538,-0.4455410956597844,0.06327998365848715,-7.040790308422087,0.9172783595407252,ms1000,M5_full,0.0,0.25,0.002,237597,8,29699.625,-0.19061309696671241,-1.495193962886739,0.03024176620716625,-6.302975020074843,False,0.0039061309696671242,0.3906130969667124
-0.7618604191130356,0.0685714192624576,-11.110465953708925,0.5310841466853538,-0.3496771776827481,0.0637994185421404,-5.480883457453166,0.9172783595407252,ms1000,M5_full,0.0,0.25,0.0025,237597,8,29699.625,-0.14061309696671243,-1.445193962886739,0.03024176620716625,-4.649632432294645,False,0.0039061309696671242,0.3906130969667124
-0.6853062117787679,0.06959800006770372,-9.84663655725903,0.5310841466853538,-0.25381325970571184,0.06432112986365145,-3.9460323573878076,0.9172783595407252,ms1000,M5_full,0.0,0.25,0.003,237597,8,29699.625,-0.09061309696671241,-1.3951939628867391,0.03024176620716625,-2.996289844514447,False,0.0039061309696671242,0.3906130969667124
