feature,target,n,pearson,spearman,slope,slope_se_hac,t_stat_hac,p_value_hac,hac_lag,directional_accuracy,pct_target_unchanged,cond_mean_pos,cond_mean_neg,cond_mean_se_pos,cond_mean_se_neg,ci95_slope_low,ci95_slope_high,p_value_fdr
OFI1_ref,ms100,1446981,0.030797881338815374,0.021671240985595887,5.667376001594956e-07,1.8936491554476244e-08,29.9283316832536,8.423575452402408e-197,33,0.509727248506916,49.971837916323715,0.00036068260648639054,-0.00041655083198406277,1.3338131479249497e-05,1.3326139119207559e-05,5.296227587191753e-07,6.038524415998159e-07,2.190129617624626e-195
OFI1_ref,ms250,1864457,0.023388739463340715,0.013724529856133361,5.784128603933376e-07,2.2588130595965048e-08,25.60693803039462,1.2769083180799612e-144,35,0.5039983133292171,39.176178372577105,0.00037920129416648177,-0.00042176312447284687,1.5667893113855896e-05,1.5695514024892788e-05,5.341409379471589e-07,6.226847828395164e-07,1.9919769762047394e-143
OFI1_ref,ms500,2067545,0.014643046817238091,0.007998833249688659,4.76517106628492e-07,2.9353566131680784e-08,16.233704092062446,2.913357019421296e-59,36,0.5010102567320889,28.77069181081911,0.00032244307054928115,-0.0003880078986380445,1.955887804252122e-05,1.95612503258987e-05,4.1898517419258293e-07,5.340490390644011e-07,1.4202615469678818e-58
OFI1_ref,ms1000,2144991,0.009074616694780373,0.004990298947865984,4.01242231753228e-07,4.185601757307285e-08,9.586249600854488,9.134511156543103e-22,36,0.5002238379988307,18.60543937014188,0.00029421581606964807,-0.00036802564302847705,2.6096041064062858e-05,2.611965857962201e-05,3.1920594477372967e-07,4.832785187327264e-07,2.0955643241481235e-21
OFI1_ref,ms2000,2157802,0.005738302015246299,0.004051390211527388,3.5321669907608455e-07,6.120112916182121e-08,5.771408206246462,7.861177918251742e-09,36,0.5001383694584863,11.003187502838536,0.0002725632287560698,-0.00039921119445290984,3.622340884875725e-05,3.620121280896066e-05,2.3326469010573095e-07,4.731687080464381e-07,1.2022977992620312e-08
OFI1_ref,ms5000,2158188,0.0016908856421158612,0.0017855051650963155,1.6211357196667455e-07,9.762822917259852e-08,1.6605194352144947,0.09681000137305334,36,0.5000769320295656,5.612161683782877,8.518151980325625e-05,-0.00038379374365736903,5.640186938925526e-05,5.638614616855522e-05,-2.9234241086041193e-08,3.5346138501939026e-07,0.11013563839032305
OFI1_ref,ms10000,2157691,-0.0004116813566213282,-0.0010328853122530612,-5.533302098088205e-08,1.3909207285030242e-07,-0.39781577660744266,0.6907659869964603,36,0.49908288371913134,3.6958952880648805,-0.00016904993178314126,-0.00041002401505079453,7.903904953641544e-05,7.904849999614207e-05,-3.2794847430249626e-07,2.1728243234073216e-07,0.7183966264763187
OFI1_ref,ms30000,2155694,-0.0005118049478517392,-0.0014530337944726763,-1.1802715318451113e-07,2.4380744294054893e-07,-0.4840998771858306,0.6283149884508658,36,0.5000178334583261,2.0053866643410427,-0.0006650360328934642,-0.0008340075360885726,0.00013556852524419831,0.00013553427157992105,-5.958809605107912e-07,3.5982665414176896e-07,0.6622779607995612
OFI1_ref,ev1,2158685,0.006747663027383131,0.007089485813187109,2.1373331101035306e-08,2.2014743835500502e-09,9.708644016365582,2.7699748088896793e-22,36,0.5102087826111131,88.28666526149021,2.179421260590437e-05,-6.269859229740278e-06,1.8647948095470478e-06,1.8643825990261547e-06,1.705852059638969e-08,2.568814160568092e-08,6.547213184648333e-22
OFI1_ref,ev5,2158685,0.004224152604175352,0.002919260118594337,3.1212737105153954e-08,5.561163084871834e-09,5.612627543699035,1.9927722563020724e-08,36,0.5027983181425726,59.42747552329312,4.2624940361210575e-05,-4.8017490148742365e-06,4.350721009352046e-06,4.34713549946777e-06,2.0313057746651496e-08,4.211241646365641e-08,2.8784488146585492e-08
