model,oos_corr,oos_r2,dir_acc,net_pnl,gross_pnl,sharpe_like,trades
M0_constant,2.4481793454516146e-17,-5.989109821682992e-05,0.49947644324353596,0.0,0.0,,0
M1N_ofi_normalized,0.004675358120700959,-3.946849268313124e-05,0.49641323309866475,-0.04000000000000625,0.040000000000020464,-2.121320343559643,4
M1_ofi,0.007284412354134942,-3.151253271528598e-05,0.4975266208607735,0.0,0.0,,0
M2_ofi_spread_depth,0.018938892727246234,0.0002960731527241883,0.5142070844719224,0.0,0.0,,0
M3_ofi_signedvol,0.011140343399026193,5.982520294822713e-05,0.49884958341345653,0.020000000000010232,0.10999999999999943,,3
M4_ofi_intensity,0.00956229454811925,1.5496252699476187e-05,0.496130529931995,0.0,0.0,,0
M5_full,0.022137865202798035,0.0004250246857085138,0.5165862453304733,0.04000000000000625,0.060000000000002274,,1
