horizon,bucket_on,ofi_decile,n_fills,mean_bucket_value,mean_prev_ofi,frac_passive_buys,markout_ticks,se_ticks,markout_after_crossing_out_ticks,pct_positive,decile_monotonicity_spearman
ms1000,prev_ofi,1,5929,-510.3719787597656,-510.3719787597656,0.4964040809499916,-0.020239500758975574,0.050983717493937764,-1.3549502190786125,45.97758822545576,-0.22424242424242424
ms1000,prev_ofi,2,5936,-305.6123962402344,-305.6123962402344,0.5106276150627616,-0.0229952830188585,0.0422557010955554,-1.3647236938128842,47.07949790794979,-0.22424242424242424
ms1000,prev_ofi,3,5906,-165.63844299316406,-165.63844299316406,0.5010940919037199,-0.11522180833049582,0.054020348493757996,-1.4418387822188532,45.564719744150814,-0.22424242424242424
ms1000,prev_ofi,4,5906,-52.98590087890625,-52.98590087890625,0.495636119503189,-0.05680663731796638,0.05758071328597307,-1.395191304782397,45.720040281973816,-0.22424242424242424
ms1000,prev_ofi,5,5949,51.205013275146484,51.205013275146484,0.5047619047619047,-0.08665321902840385,0.05239448441975382,-1.4232643880375822,45.93149540517962,-0.22424242424242424
ms1000,prev_ofi,6,5918,167.86996459960938,167.86996459960938,0.487751677852349,-0.10087867522813344,0.04181699620928565,-1.4559817244571167,45.75503355704698,-0.22424242424242424
ms1000,prev_ofi,7,5928,310.0291442871094,310.0291442871094,0.5020934516831351,-0.08282726045883503,0.042494825210676566,-1.419028313890819,46.709093954111545,-0.22424242424242424
ms1000,prev_ofi,8,5901,510.7890930175781,510.7890930175781,0.5054704595185996,-0.046687002202998304,0.050372995414121095,-1.401287891301489,47.23110587443191,-0.22424242424242424
ms1000,prev_ofi,9,5918,1082.0125732421875,1082.0125732421875,0.5077207116482041,-0.015545792497464907,0.05545350873605296,-1.3318688496198197,46.30748573346761,-0.22424242424242424
ms2000,prev_ofi,0,5975,-1081.1314697265625,-1081.1314697265625,0.4804282368685179,-0.0702928870292885,0.06535697381327472,-1.3676987196205799,46.654399464703914,0.11515151515151516
ms2000,prev_ofi,1,5971,-510.3719787597656,-510.3719787597656,0.4964040809499916,-0.06598559705243118,0.09087373071345073,-1.3996817698542299,48.218765679879574,0.11515151515151516
ms2000,prev_ofi,2,5970,-305.6123962402344,-305.6123962402344,0.5106276150627616,-0.015745393634839643,0.05713111496751354,-1.3566163895423924,48.0,0.11515151515151516
ms2000,prev_ofi,3,5936,-165.63844299316406,-165.63844299316406,0.5010940919037199,-0.131991239892182,0.055295709594137175,-1.4573786804343327,46.06968523817539,0.11515151515151516
ms2000,prev_ofi,4,5954,-52.98590087890625,-52.98590087890625,0.495636119503189,-0.0562646960026719,0.05127117514517992,-1.3929290972183141,46.7942262504196,0.11515151515151516
ms2000,prev_ofi,5,5982,51.205013275146484,51.205013275146484,0.5047619047619047,-0.12637913741222273,0.061179343593215224,-1.461885630840933,46.950710108604845,0.11515151515151516
ms2000,prev_ofi,6,5958,167.86996459960938,167.86996459960938,0.487751677852349,-0.1534911043974597,0.06588108656976474,-1.506461873851895,45.671140939597315,0.11515151515151516
ms2000,prev_ofi,7,5968,310.0291442871094,310.0291442871094,0.5020934516831351,-0.10774128686325875,0.04828532103222825,-1.4431132445812116,47.68045553508625,0.11515151515151516
ms2000,prev_ofi,8,5936,510.7890930175781,510.7890930175781,0.5054704595185996,-0.05635107816709817,0.06266559895463802,-1.409113855416821,47.71923918532234,0.11515151515151516
ms2000,prev_ofi,9,5952,1082.0125732421875,1082.0125732421875,0.5077207116482041,0.04502688172041709,0.0472846762574081,-1.2702452706971825,47.700570661295735,0.11515151515151516
ms5000,prev_ofi,0,5974,-1081.1314697265625,-1081.1314697265625,0.4804282368685179,-0.0012554402410557542,0.09066519718286502,-1.298794752216975,47.87554366008698,0.07878787878787878
ms5000,prev_ofi,1,5969,-510.3719787597656,-510.3719787597656,0.4964040809499916,-0.0805830122298538,0.07685073936446449,-1.4146422931497256,48.28566649941462,0.07878787878787878
ms5000,prev_ofi,2,5971,-305.6123962402344,-305.6123962402344,0.5106276150627616,0.0936191592697972,0.0876886952433292,-1.247194748877203,50.1255230125523,0.07878787878787878
ms5000,prev_ofi,3,5936,-165.63844299316406,-165.63844299316406,0.5010940919037199,-0.05946765498652149,0.08266402374366516,-1.3850235591367666,48.914324187847164,0.07878787878787878
ms5000,prev_ofi,4,5953,-52.98590087890625,-52.98590087890625,0.495636119503189,-0.03544431379135685,0.07908059807055125,-1.3720812774855382,49.160792212151726,0.07878787878787878
ms5000,prev_ofi,5,5980,51.205013275146484,51.205013275146484,0.5047619047619047,-0.12784280936456008,0.0507679198832429,-1.4633779002920557,47.769423558897245,0.07878787878787878
ms5000,prev_ofi,6,5958,167.86996459960938,167.86996459960938,0.487751677852349,-0.2582242363209098,0.10833068666292771,-1.611278926552254,46.54362416107383,0.07878787878787878
ms5000,prev_ofi,7,5968,310.0291442871094,310.0291442871094,0.5020934516831351,0.032506702412859786,0.05744024417102732,-1.3029490354640783,48.26662200636409,0.07878787878787878
ms5000,prev_ofi,8,5935,510.7890930175781,510.7890930175781,0.5054704595185996,-0.05947767481043742,0.07664220941982282,-1.412468381761466,48.76283453963979,0.07878787878787878
ms5000,prev_ofi,9,5949,1082.0125732421875,1082.0125732421875,0.5077207116482041,0.11027063371995321,0.07658942736293209,-1.205328601653094,49.19436052366566,0.07878787878787878
ms10000,prev_ofi,0,5967,-1081.1314697265625,-1081.1314697265625,0.4804282368685179,0.05865594100888671,0.10212913624007516,-1.239651390957717,48.94613583138173,-0.34545454545454546
ms10000,prev_ofi,1,5966,-510.3719787597656,-510.3719787597656,0.4964040809499916,-0.013325511230292467,0.12676156866914157,-1.3475527736972337,48.553269777554775,-0.34545454545454546
