count,mean,std,skew,kurtosis,autocorr_lag1,feature
2158686,3.0492420196533203,610.0145263671875,-1.7041129090207263,290.83999141771756,0.473929707433845,OFI_L1_ref
2158686,5.36761999130249,1044.810546875,-11.523810242286777,11234.20678420494,0.4241933582859645,OFI_1_to_2_ref
2158686,0.012337409891188145,4.628031253814697,-18.762367238178072,5784.205608780998,0.271932821940703,nOFI_L1
2158686,0.008059326559305191,1.0821160078048706,0.8847926227980906,170.06738831882575,0.4210483324580295,nOFI_L2
2158686,0.010936320759356022,1.39775812625885,0.032412710269265295,3.807274305688514,0.45198118832852524,nOFI_L1_trailing_depth
2158686,0.00516817020252347,0.8509847521781921,-0.011350649623426896,3.7417563258617195,0.5247913775874101,zOFI
2158686,0.0051267631351947784,0.8602096438407898,-0.720495921460933,75.11555211689252,0.518013220376033,zOFI_shifted
2158686,0.025297677144408226,0.010455886833369732,1.0065021972978139,4.117321825544747,0.701111396423715,spread
2158686,-0.00017863175889942795,0.0035962830297648907,-0.7855984985110883,17.764285505183302,-0.0073814818401369345,delta_spread
2158686,0.00026093103224411607,0.00010848898091353476,1.0069000212777455,4.205325819901324,0.7014883921770134,relative_spread
2158686,10931758.0,25465530.0,15.411756547162621,inf,0.3016394520001537,depth_imbalance_L1
2158686,0.0017044668784365058,0.0003789501788560301,3.926618682586756,172.45673889282125,0.9594849411264194,trailing_mid_vol
2158686,1.3953747749328613,4.867237567901611,5.501468069459206,234.71188693524954,0.8418142774134881,aggressive_trade_intensity_imbalance
