fold,model,horizon,test_day,r2_in_sample,sigma_resid,oos_r2,oos_corr,dir_acc,pct_unchanged,n_oos,chosen_z_threshold,bt_trade_count,bt_gross_pnl,bt_net_pnl,bt_total_costs,bt_hit_rate,bt_avg_pnl,bt_sharpe_like,bt_max_drawdown,bt_turnover,bt_rows_total,bt_rows_predictable,bt_blocked_overlap,bt_pass_cost_gate,bt_pass_z_gate,bt_signals,bt_drop_no_execution,bt_drop_no_exit,bt_drop_no_depth,bt_longs,bt_shorts,bt_mean_abs_prediction,bt_max_abs_prediction,bt_mean_cost_threshold,bt_mean_pred_over_cost,bt_time_in_market_frac,bt_net_per_trade,bt_net_per_trade_ticks,bt_net_per_trade_bps,bt_gross_per_trade,bt_gross_per_trade_ticks,bt_cost_per_trade,bt_cost_per_trade_ticks,beta_1,beta_1_t,beta_1_name
1,M5_full,ms1000,2026-07-30,0.0005793398391629179,0.027611577949867235,-8.274087427784238e-05,0.008015498534886974,0.5061077463268298,18.870307544804188,108472,1.5,0,0.0,0.0,0.0,,,,0.0,0.0,109019,109019,0,4,0,0,0,0,0,0,0,0.0003722990659035378,0.02234530251137608,0.0215754130006685,0.0172557098161691,0.0,,,,,,,,0.00025444882804734136,5.901871749114186,OFI1_ev50
2,M0_constant,ms1000,2026-07-31,1.3070655668911968e-12,0.027611297839427312,-4.261609456257531e-05,,0.5077411013249936,17.72647925228207,109988,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,110337,110337,0,0,0,0,0,0,0,0,0,8.290015801052842e-05,8.290015801054089e-05,0.02516789422035355,0.003293885347924188,0.0,,,,,,,,,,
2,M1_ofi,ms1000,2026-07-31,0.0001313320747146074,0.027609484655378776,-1.5835324979285303e-05,0.007060941328878237,0.5018510128079036,17.72647925228207,109988,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,110337,110337,0,0,0,0,0,0,0,0,0,0.00026692441218798365,0.013138794076731557,0.02516789422035355,0.010605750717599527,0.0,,,,,,,,0.00031642589899676435,8.186464573403788,OFI1_ev50
2,M1N_ofi_normalized,ms1000,2026-07-31,3.5746599230335185e-05,0.027610804330017728,-2.420938108249615e-05,0.004360631920420128,0.5036854493817065,17.72647925228207,109988,0.5,2,-0.0049999999999954525,-0.030000000000015348,0.025000000000019895,0.0,-0.015000000000007674,-2.121320343559643,-0.020000000000010232,184.51999999999998,110337,110327,10,3,2,2,0,0,0,0,2,0.0001057792497073555,0.030102826150027292,0.025169178393263738,0.004202729547010807,8.64707236836336e-05,-0.015000000000007674,-1.5000000000007674,-1.6258400173431256,-0.0024999999999977263,-0.24999999999977263,0.012500000000009948,1.2500000000009948,0.000165083620885199,4.082248784332954,nOFI_L1
2,M2_ofi_spread_depth,ms1000,2026-07-31,0.0004243489863346994,0.027605438804667523,0.00022419357367986503,0.016620689999632288,0.5104264512492955,17.72647925228207,109988,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,110337,110337,0,8,0,0,0,0,0,0,0,0.0003514058216848363,0.021702948390014024,0.02516789422035355,0.013962464185845574,0.0,,,,,,,,0.0003080298244601215,8.00860757848025,OFI1_ev50
2,M3_ofi_signedvol,ms1000,2026-07-31,0.00018381270281975226,0.027608760069160722,-2.721128934535244e-05,0.006479320159996198,0.5026024687537988,17.72647925228207,109988,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,110337,110337,0,1,0,0,0,0,0,0,0,0.00023501446870687073,0.010029874607252943,0.02516789422035355,0.00933786778700031,0.0,,,,,,,,0.00022890169430498798,5.371503875694639,OFI1_ev50
2,M4_ofi_intensity,ms1000,2026-07-31,0.00019359284851538927,0.02760862503516186,-0.0001382145369612786,0.0032451497669540247,0.49677868517311113,17.72647925228207,109988,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,110337,110337,0,0,0,0,0,0,0,0,0,0.0003013826157231646,0.01289399211824019,0.02516789422035355,0.01197488407589671,0.0,,,,,,,,0.0003069253437406358,7.9420780507335165,OFI1_ev50
2,M5_full,ms1000,2026-07-31,0.0005329802440126041,0.027603938720600314,9.582849114198044e-05,0.013456867747630486,0.5079400161342011,17.72647925228207,109988,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,110337,110337,0,9,0,0,0,0,0,0,0,0.00035272760977236254,0.021534613595556036,0.02516789422035355,0.014014983005098134,0.0,,,,,,,,0.00022344022272974203,5.277230569957442,OFI1_ev50
3,M0_constant,ms1000,2026-08-03,1.025068918636407e-12,0.02785743078370585,-0.00011467900513051354,-7.965682796780422e-17,0.4927571941746314,22.084916336593647,98968,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,100669,100669,0,0,0,0,0,0,0,0,0,8.116082113590264e-05,8.11608211359667e-05,0.022094884750195904,0.0036732855615000675,0.0,,,,,,,,,,
3,M1_ofi,ms1000,2026-08-03,7.837069833382948e-05,0.02785633915916493,3.101868003096975e-05,0.012643670236978686,0.4983335710858373,22.084916336593647,98968,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,100669,100669,0,0,0,0,0,0,0,0,0,0.00018354811280881173,0.004517405592979045,0.022094884750195904,0.008307267264980158,0.0,,,,,,,,0.00024661399504304375,6.676168542644517,OFI1_ev50
