model,oos_corr,oos_r2,dir_acc,net_pnl,gross_pnl,sharpe_like,trades
M0_constant,2.4481793454516142e-17,-5.989109821681574e-05,0.49947644324353596,0.0,0.0,,0
M1N_ofi_normalized,0.004675358120700925,-3.94684926831242e-05,0.4964132330986647,-0.0400000000000062,0.0400000000000205,-2.121320343559643,4
M1_ofi,0.007284412354134925,-3.15125327152906e-05,0.4975266208607735,0.0,0.0,,0
M2_ofi_spread_depth,0.018938892727246186,0.00029607315272415276,0.5142070844719224,0.0,0.0,,0
M3_ofi_signedvol,0.011140343399026125,5.98252029482075e-05,0.49884958341345653,0.02000000000001019,0.10999999999999939,,3
M4_ofi_intensity,0.009562294548119223,1.5496252699487477e-05,0.49613052993199497,0.0,0.0,,0
M5_full,0.022137865202797972,0.0004250246857084888,0.5165862453304733,0.0400000000000062,0.0600000000000022,,1
