decile,n,mean_future,se_future,prob_up,mean_monotonicity_spearman
0,123240,-0.000198026295323921,0.0002210493554685054,0.4185064269471513,0.5560606060606059
1,89373,-0.000403261934285468,0.0002513372623168463,0.4052854109170193,0.5560606060606059
2,77066,-0.00013297976568347748,0.0002656243322426106,0.40082025099795177,0.5560606060606059
3,69710,-6.602532316411647e-05,0.0002801524584343032,0.399620000946577,0.5560606060606059
4,66277,-0.00010200254453698228,0.0002914320014989841,0.3939666782911783,0.5560606060606059
5,65692,4.171891935971059e-05,0.0002902178499616793,0.399761534551461,0.5560606060606059
6,70480,0.00016632079833902913,0.0002815740653761711,0.401059201118088,0.5560606060606059
7,76363,0.0003597744750056662,0.00026530825597188254,0.40315233846103965,0.5560606060606059
8,88577,0.00025294546382387115,0.00024661767304061285,0.3992995445080599,0.5560606060606059
9,124644,0.00026003392433882283,0.0002136353123475525,0.40006060104448143,0.5560606060606059
